"","TX_AMOUNT","TX_TIME_SECONDS","TX_TIME_DAYS","TX_FRAUD"
"1",602.43,6201756,71,"0"
"2",360.1,1277382,14,"0"
"3",283.63,717881,8,"0"
"4",790.86,821340,9,"0"
"5",78.61,2213854,25,"0"
"6",518.33,5367732,62,"0"
"7",688.2,3663472,42,"0"
"8",43.73,242340,2,"0"
"9",387.42,7474297,86,"0"
"10",731.51,1538501,17,"0"
"11",128.66,1261504,14,"0"
"12",159.71,2472936,28,"0"
"13",478.56,563881,6,"0"
"14",757.89,6715478,77,"0"
"15",750.08,8221942,95,"0"
"16",359.6,6523524,75,"0"
"17",328.05,8959326,103,"0"
"18",602.36,294441,3,"0"
"19",594.15,8230885,95,"0"
"20",253.53,3761434,43,"0"
"21",131.17,2902335,33,"0"
"22",268.21,3810292,44,"0"
"23",850.31,1315697,15,"0"
"24",219.15,6100018,70,"0"
"25",455.59,3556761,41,"0"
"26",113.15,3853914,44,"0"
"27",341.09,5780735,66,"0"
"28",602.64,2105239,24,"0"
"29",513.25,2645193,30,"0"
"30",973.56,6144826,71,"0"
"31",26.64,6869039,79,"0"
"32",577.29,3058904,35,"0"
"33",54.68,6740467,78,"0"
"34",401.41,5691543,65,"0"
"35",6.44,814554,9,"0"
"36",543.21,8589694,99,"0"
"37",387.81,8845025,102,"0"
"38",330.38,7315672,84,"0"
"39",473.42,1247987,14,"0"
"40",449.79,7689368,88,"0"
"41",973.68,1015490,11,"0"
"42",714.09,4512433,52,"0"
"43",649.97,8596931,99,"0"
"44",637.49,7140223,82,"0"
"45",495.24,4158564,48,"0"
"46",461.41,3235025,37,"0"
"47",241.39,7723197,89,"0"
"48",740.94,6007544,69,"0"
"49",586.26,2396373,27,"0"
"50",186.07,4631626,53,"0"
"51",906.09,9014125,104,"0"
"52",747.83,4793519,55,"0"
"53",661.41,7410969,85,"0"
"54",792.2,4808212,55,"0"
"55",983.29,897380,10,"0"
"56",454.22,7325936,84,"0"
"57",344.49,4223119,48,"0"
"58",229.67,8432889,97,"0"
"59",57.81,4671087,54,"0"
"60",11.59,4594298,53,"0"
"61",235.15,8334739,96,"0"
"62",79.5,2450513,28,"0"
"63",655.17,8891598,102,"0"
"64",272.53,7654893,88,"0"
"65",639.45,2127586,24,"0"
"66",233.76,2372274,27,"0"
"67",572.8,3010142,34,"0"
"68",116.8,2729539,31,"0"
"69",879.69,1841373,21,"0"
"70",608.34,8020668,92,"0"
"71",367.88,6527900,75,"0"
"72",82.21,8702692,100,"0"
"73",741.95,4023340,46,"0"
"74",79.48,9320810,107,"0"
"75",939.55,3385827,39,"0"
"76",715.7,5045717,58,"0"
"77",112.99,6886943,79,"0"
"78",635.28,4909840,56,"0"
"79",51.28,2037058,23,"0"
"80",58.54,7215301,83,"0"
"81",307.08,5060703,58,"0"
"82",712.88,3434662,39,"0"
"83",255.43,7884668,91,"0"
"84",57.62,119914,1,"0"
"85",398.5,1595470,18,"0"
"86",358.94,4345706,50,"0"
"87",83.69,8673481,100,"0"
"88",368.84,5500401,63,"0"
"89",519.02,1362202,15,"0"
"90",607.81,8695188,100,"0"
"91",351.83,3053329,35,"0"
"92",918.15,7723399,89,"0"
"93",896.98,3501809,40,"0"
"94",219.24,8931399,103,"0"
"95",271.62,8253303,95,"0"
"96",805.91,1004126,11,"0"
"97",762.89,4437006,51,"0"
"98",422.5,555743,6,"0"
"99",804.32,663870,7,"0"
"100",120.35,4796913,55,"0"
"101",693.2,2815374,32,"0"
"102",790.86,6682540,77,"0"
"103",636,5131172,59,"0"
"104",574.89,229378,2,"0"
"105",184.17,2872476,33,"0"
"106",36.21,8528520,98,"0"
"107",81.27,7194913,83,"0"
"108",601.27,6167669,71,"0"
"109",218.29,4388831,50,"0"
